frame,pen-position-x,pen-position-y
1,2,340
2,2,340
3,2,340
4,2,340
5,2,340
6,2,340
7,2,340
8,2,340
9,2,340
10,2,340
11,2,340
12,2,340
13,2,340
14,2,340
15,2,340
16,2,340
17,2,340
18,2,340
19,2,340
20,2,340
21,2,340
22,2,340
23,2,340
24,2,340
25,2,340
26,2,340
27,2,340
28,2,340
29,2,340
30,2,340
31,2,340
32,2,340
33,2,340
34,2,340
35,2,340
36,2,340
37,2,340
38,2,340
39,2,340
40,2,340
41,2,340
42,2,340
43,2,340
44,2,340
45,2,340
46,2,340
47,2,340
48,2,340
49,2,340
50,2,340
51,2,340
52,2,340
53,2,340
54,2,340
55,2,340
56,2,340
57,2,340
58,2,340
59,2,340
60,2,340
61,2,340
62,2,340
63,2,340
64,2,340
65,2,340
66,2,340
67,2,340
68,2,340
69,2,340
70,2,340
71,2,340
72,2,340
73,2,340
74,2,340
75,2,340
76,2,340
77,2,340
78,2,340
79,2,340
80,2,340
81,2,340
82,2,340
83,2,340
84,2,340
85,2,340
86,2,340
87,2,340
88,2,340
89,2,340
90,2,340
91,2,340
92,2,340
93,2,340
94,2,340
95,2,340
96,2,340
97,2,340
98,2,340
99,2,340
100,2,340
101,2,340
102,2,340
103,2,340
104,2,340
105,2,340
106,2,340
107,2,340
108,2,340
109,2,340
110,2,340
111,2,340
112,2,340
113,2,340
114,2,340
115,2,340
116,2,340
117,2,340
118,2,340
119,2,340
120,2,340
121,2,340
122,2,340
123,2,340
124,2,340
125,2,340
126,2,340
127,2,340
128,2,340
129,2,340
130,2,340
131,2,340
132,2,340
133,2,340
134,2,340
135,2,340
136,2,340
137,2,340
138,2,340
139,2,340
140,2,340
141,2,340
142,2,340
143,2,340
144,2,340
145,2,340
146,2,340
147,2,340
148,2,340
149,2,340
150,2,340
151,2,340
152,2,340
153,2,340
154,2,340
155,2,340
156,2,340
157,2,340
158,2,340
159,2,340
160,2,340
161,11,326
162,21,307
163,57,281
164,134,237
165,134,237
166,182,201
167,218,177
168,267,133
169,268,118
170,265,111
171,229,74
172,222,68
173,198,67
174,210,57
175,197,64
176,214,56
177,203,69
178,205,72
179,205,91
180,196,84
181,202,86
182,216,88
183,225,90
184,242,91
185,260,92
186,262,92
187,290,92
188,316,92
189,305,92
190,339,94
191,341,94
192,342,94
193,352,95
194,361,97
195,376,98
196,389,100
197,404,101
198,421,102
199,441,102
200,459,102
201,473,102
202,487,102
203,499,102
204,500,102
205,527,100
206,550,99
207,541,99
208,551,97
209,566,94
210,565,93
211,587,89
212,586,89
213,606,87
214,625,86
215,623,86
216,621,86
217,635,86
218,649,87
219,651,86
220,637,86
221,651,87
222,665,87
223,649,87
224,652,87
225,659,86
226,662,87
227,662,89
228,665,89
229,670,88
230,671,89
231,690,91
232,695,94
233,696,94
234,703,93
235,707,94
236,708,94
237,714,94
238,718,94
239,721,94
240,705,94
241,708,95
242,727,99
243,728,98
244,729,97
245,725,99
246,726,100
247,730,100
248,736,99
249,735,101
250,740,100
251,741,101
252,744,102
253,743,107
254,735,103
255,736,105
256,752,107
257,757,106
258,759,106
259,742,106
260,761,106
261,757,109
262,745,107
263,761,109
264,766,108
265,764,110
266,769,109
267,768,110
268,773,111
269,758,110
270,777,111
271,764,110
272,767,109
273,772,109
274,788,108
275,790,107
276,792,107
277,781,110
278,795,106
279,783,109
280,787,114
281,797,104
282,789,113
283,789,115
284,791,114
285,793,116
286,796,117
287,792,113
288,796,114
289,799,128
290,801,120
291,800,121
292,801,124
293,803,126
294,801,126
295,799,126
296,796,126
297,794,126
298,791,126
299,788,126
300,780,123
301,784,127
302,783,127
303,778,128
304,780,126
305,778,126
306,771,123
307,776,127
308,776,127
309,767,137
310,773,130
311,773,133
312,774,134
313,773,139
314,772,130
315,776,144
316,776,144
317,783,140
318,781,140
319,761,139
320,753,139
321,767,139
322,763,139
323,747,139
324,749,139
325,729,139
326,725,139
327,692,136
328,674,134
329,664,131
330,654,126
331,638,123
332,619,119
333,601,113
334,595,109
335,568,105
336,537,101
337,528,99
338,497,95
339,495,94
340,493,93
341,470,91
342,470,91
343,469,90
344,452,90
345,440,90
346,439,90
347,437,89
348,449,92
349,447,91
350,431,92
